seed,rule,score,selected
17,margin_q0.25_and_neural_q0.50,0.7102331427012945,29
17,margin_q0.25_and_neural_q0.60,0.7102399097183122,34
17,margin_q0.25_and_neural_q0.70,0.7100949821820803,41
17,margin_q0.40_and_conf_q0.25,0.7107957793750584,49
17,margin_q0.40_or_conf_q0.25,0.7107957793750584,63
17,margin_q0.40_and_conf_q0.40,0.7107957793750584,45
17,margin_q0.40_or_conf_q0.40,0.7109295407447749,55
17,margin_q0.40_and_conf_q0.50,0.7109295407447749,42
17,margin_q0.40_or_conf_q0.50,0.7107957793750584,50
17,margin_q0.40_and_conf_q0.60,0.7112193958172387,33
17,margin_q0.40_or_conf_q0.60,0.7107957793750584,50
17,margin_q0.40_and_conf_q0.70,0.7110781528793856,25
17,margin_q0.40_or_conf_q0.70,0.7107957793750584,50
17,margin_q0.40_and_neural_q0.25,0.7103780702375264,8
17,margin_q0.40_and_neural_q0.40,0.7102331427012945,14
17,margin_q0.40_and_neural_q0.50,0.7102331427012945,20
17,margin_q0.40_and_neural_q0.60,0.7102399097183122,24
17,margin_q0.40_and_neural_q0.70,0.7100949821820803,30
17,margin_q0.50_and_conf_q0.25,0.7110856344475223,42
17,margin_q0.50_or_conf_q0.25,0.7107957793750584,62
17,margin_q0.50_and_conf_q0.40,0.7110856344475223,42
17,margin_q0.50_or_conf_q0.40,0.7109295407447749,50
17,margin_q0.50_and_conf_q0.50,0.7112193958172387,40
17,margin_q0.50_or_conf_q0.50,0.7107957793750584,44
17,margin_q0.50_and_conf_q0.60,0.7112193958172387,33
17,margin_q0.50_or_conf_q0.60,0.7110856344475223,42
17,margin_q0.50_and_conf_q0.70,0.7110781528793856,25
17,margin_q0.50_or_conf_q0.70,0.7110856344475223,42
17,margin_q0.50_and_neural_q0.25,0.7103780702375264,5
17,margin_q0.50_and_neural_q0.40,0.7103780702375264,10
17,margin_q0.50_and_neural_q0.50,0.7103780702375264,14
17,margin_q0.50_and_neural_q0.60,0.7103848372545439,18
17,margin_q0.50_and_neural_q0.70,0.7103848372545439,22
17,margin_q0.60_and_conf_q0.25,0.7109443915096691,33
17,margin_q0.60_or_conf_q0.25,0.7107957793750584,62
17,margin_q0.60_and_conf_q0.40,0.7109443915096691,33
17,margin_q0.60_or_conf_q0.40,0.7109295407447749,50
17,margin_q0.60_and_conf_q0.50,0.7110781528793856,32
17,margin_q0.60_or_conf_q0.50,0.7107957793750584,43
17,margin_q0.60_and_conf_q0.60,0.7110781528793856,29
17,margin_q0.60_or_conf_q0.60,0.7110856344475223,37
17,margin_q0.60_and_conf_q0.70,0.7110781528793856,24
17,margin_q0.60_or_conf_q0.70,0.7109443915096691,34
17,margin_q0.60_and_neural_q0.25,0.7103780702375264,2
17,margin_q0.60_and_neural_q0.40,0.7103780702375264,4
17,margin_q0.60_and_neural_q0.50,0.7103780702375264,7
17,margin_q0.60_and_neural_q0.60,0.7103848372545439,10
17,margin_q0.60_and_neural_q0.70,0.7103848372545439,14
17,margin_q0.70_and_conf_q0.25,0.7110781528793856,25
17,margin_q0.70_or_conf_q0.25,0.7107957793750584,62
17,margin_q0.70_and_conf_q0.40,0.7110781528793856,25
17,margin_q0.70_or_conf_q0.40,0.7109295407447749,50
17,margin_q0.70_and_conf_q0.50,0.7110781528793856,25
17,margin_q0.70_or_conf_q0.50,0.7109295407447749,42
17,margin_q0.70_and_conf_q0.60,0.7110781528793856,25
17,margin_q0.70_or_conf_q0.60,0.7112193958172387,33
17,margin_q0.70_and_conf_q0.70,0.7110781528793856,22
17,margin_q0.70_or_conf_q0.70,0.7110781528793856,28
17,margin_q0.70_and_neural_q0.25,0.7103780702375264,1
17,margin_q0.70_and_neural_q0.40,0.7103780702375264,1
17,margin_q0.70_and_neural_q0.50,0.7103780702375264,3
17,margin_q0.70_and_neural_q0.60,0.7105185986242605,5
17,margin_q0.70_and_neural_q0.70,0.7105185986242605,8
