seed,rule,score
17,global0.150_et40.050,0.7106658940280123
17,global0.150_et40.075,0.7108093248943347
17,global0.150_et40.100,0.7105291789792828
17,global0.150_et40.125,0.7110845255092016
17,global0.150_et40.150,0.711476140121745
17,global0.150_et40.200,0.7121483723716815
17,global0.150_et40.250,0.7140398197108354
17,global0.150_et40.300,0.7129183034671979
17,global0.200_et40.025,0.7109211930670952
17,global0.200_et40.050,0.7111887158065281
17,global0.200_et40.075,0.7109308625637012
17,global0.200_et40.100,0.7109308625637012
17,global0.200_et40.125,0.7114788795576684
17,global0.200_et40.150,0.7120139250365343
17,global0.200_et40.200,0.7129439710187189
17,global0.200_et40.250,0.714161357380202
17,global0.200_et40.300,0.7130265546092511
17,global0.100_rf10.025,0.709705055663738
17,global0.100_rf10.050,0.709705055663738
17,global0.100_rf10.075,0.709692432488119
17,global0.100_rf10.100,0.7113372089689811
17,global0.100_rf10.125,0.7111937781026588
17,global0.100_rf10.150,0.7115950622118081
17,global0.100_rf10.200,0.7108944165772538
17,global0.100_rf10.250,0.7118551711558371
17,global0.100_rf10.300,0.7119686873518697
17,global0.150_rf10.025,0.7106658940280123
17,global0.150_rf10.050,0.710532132658296
17,global0.150_rf10.075,0.71122027850009
17,global0.150_rf10.100,0.7110738939547546
17,global0.150_rf10.125,0.711197985827865
17,global0.150_rf10.150,0.7113317471975815
17,global0.150_rf10.200,0.7115823942873156
17,global0.150_rf10.250,0.7126942015237686
17,global0.150_rf10.300,0.7122362100913024
17,global0.200_rf10.025,0.7109211930670952
17,global0.200_rf10.050,0.7107874316973789
17,global0.200_rf10.075,0.7110742934300237
17,global0.200_rf10.100,0.710794147514972
17,global0.200_rf10.125,0.7117357707426543
17,global0.200_rf10.150,0.7118695321123707
17,global0.200_rf10.200,0.7123806199988975
17,global0.200_rf10.250,0.7132073538056783
17,global0.200_rf10.300,0.7123507053286074
17,global0.100_rf20.025,0.709705055663738
17,global0.100_rf20.050,0.709705055663738
17,global0.100_rf20.075,0.709692432488119
17,global0.100_rf20.100,0.7113372089689811
17,global0.100_rf20.125,0.7111937781026588
17,global0.100_rf20.150,0.7115950622118081
17,global0.100_rf20.200,0.7108944165772538
17,global0.100_rf20.250,0.7125442790554724
17,global0.100_rf20.300,0.7119761689200063
17,global0.150_rf20.025,0.7106658940280123
17,global0.150_rf20.050,0.710532132658296
17,global0.150_rf20.075,0.71122027850009
17,global0.150_rf20.100,0.7110738939547546
17,global0.150_rf20.125,0.711197985827865
17,global0.150_rf20.150,0.7113317471975815
17,global0.150_rf20.200,0.7115823942873156
17,global0.150_rf20.250,0.7130954856329178
17,global0.150_rf20.300,0.7119590178552636
17,global0.200_rf20.025,0.7109211930670952
17,global0.200_rf20.050,0.7107874316973789
17,global0.200_rf20.075,0.7110742934300237
17,global0.200_rf20.100,0.710794147514972
17,global0.200_rf20.125,0.7117357707426543
17,global0.200_rf20.150,0.7118695321123706
17,global0.200_rf20.200,0.7119767088252038
17,global0.200_rf20.250,0.7134722494805669
17,global0.200_rf20.300,0.7122169439588909
