seed,rule,score
5,rf2_mix0.75_w0.15,0.7350340259151348
5,rf2_mix0.75_w0.20,0.7355999651343467
5,rf2_mix0.75_w0.25,0.735512084546297
5,rf2_mix0.75_w0.30,0.7357865824036464
5,et015_rfsqrt0.025,0.7356672343586778
5,et015_rfsqrt0.050,0.7349838248686692
5,et015_rfsqrt0.075,0.7354051798513402
5,et015_rfsqrt0.100,0.7355751064939534
5,et015_rfsqrt0.125,0.7355781525534185
5,et015_rfsqrt0.150,0.7355781525534185
5,et015_rfsqrt0.200,0.7352259026079618
5,rfsqrt_mix0.25_w0.15,0.7353961510826
5,rfsqrt_mix0.25_w0.20,0.7349838248686692
5,rfsqrt_mix0.25_w0.25,0.7355610205224486
5,rfsqrt_mix0.25_w0.30,0.7354471252997499
5,rfsqrt_mix0.50_w0.15,0.7350030693215938
5,rfsqrt_mix0.50_w0.20,0.7351431253440027
5,rfsqrt_mix0.50_w0.25,0.7354440792402847
5,rfsqrt_mix0.50_w0.30,0.7355781525534185
5,rfsqrt_mix0.75_w0.15,0.7347342137113436
5,rfsqrt_mix0.75_w0.20,0.734872042067925
5,rfsqrt_mix0.75_w0.25,0.7354659057864303
5,rfsqrt_mix0.75_w0.30,0.7354880501337592
17,et_conditional,0.7106843503383731
17,et015_et20.025,0.7105284480599171
17,et015_et20.050,0.7103793127984789
17,et015_et20.075,0.7103793127984789
17,et015_et20.100,0.7106562296194738
17,et015_et20.125,0.710927960084113
17,et015_et20.150,0.7102658690531239
17,et015_et20.200,0.7105483549288302
17,et2_mix0.25_w0.15,0.7103780702375264
17,et2_mix0.25_w0.20,0.7103793127984789
17,et2_mix0.25_w0.25,0.7106562296194738
17,et2_mix0.25_w0.30,0.7102591532355308
17,et2_mix0.50_w0.15,0.7107868359148123
17,et2_mix0.50_w0.20,0.7106468355379117
17,et2_mix0.50_w0.25,0.710519841185213
17,et2_mix0.50_w0.30,0.7102658690531239
17,et2_mix0.75_w0.15,0.7102475827107404
17,et2_mix0.75_w0.20,0.7110592858135765
17,et2_mix0.75_w0.25,0.7106536025549294
17,et2_mix0.75_w0.30,0.7109320488371615
17,et015_et40.025,0.7105284480599171
17,et015_et40.050,0.7103793127984789
17,et015_et40.075,0.7106562296194738
17,et015_et40.100,0.7107941987143965
17,et015_et40.125,0.7105043833027388
17,et015_et40.150,0.7106381446724551
17,et015_et40.200,0.7110737309110897
17,et4_mix0.25_w0.15,0.7101105474980934
17,et4_mix0.25_w0.20,0.7103793127984789
